age,workclass,educational_num,marital_status,capital_gain,capital_loss,num_visits_store_last_year,native_country,is_weekend,educational,buy_the_new_product
26,Private,14,Not-in-family,0,0,40,United-States,0,Masters,0
33,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
47,Local-gov,9,Not-in-family,0,0,40,United-States,0,HS-grad,0
41,Private,13,Not-in-family,0,0,40,?,1,Bachelor,0
41,Self-emp-inc,12,Husband,15024,0,60,United-States,1,Assoc-admn,1
19,Private,10,Own-child,0,0,20,United-States,0,Some-college,0
46,Private,9,Not-in-family,0,0,40,United-States,0,HS-grad,0
43,Private,9,Husband,0,0,48,United-States,0,HS-grad,0
55,Private,10,Husband,15024,0,45,United-States,1,Some-college,1
46,Private,11,Husband,0,0,40,United-States,0,Assoc-voc,0
30,Private,9,Husband,0,0,40,Mexico,0,HS-grad,0
21,Private,10,Not-in-family,0,0,40,United-States,0,Some-college,0
46,Private,10,Husband,0,0,40,Dominican-Republic,0,Some-college,0
17,?,6,Own-child,0,0,40,United-States,0, 10th,0
41,Private,9,Husband,0,0,50,United-States,0,HS-grad,0
69,Self-emp-inc,9,Husband,0,0,30,United-States,1,HS-grad,0
50,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
20,Private,10,Not-in-family,0,0,40,United-States,0,Some-college,0
45,Self-emp-inc,10,Husband,0,0,50,United-States,0,Some-college,0
23,Private,13,Not-in-family,0,0,40,United-States,0,Bachelor,0
24,Private,10,Not-in-family,0,1876,40,United-States,0,Some-college,0
44,Self-emp-inc,9,Husband,99999,0,50,?,1,HS-grad,1
31,Self-emp-not-inc,10,Husband,0,0,50,United-States,0,Some-college,0
43,Private,9,Not-in-family,0,0,44,United-States,1,HS-grad,0
20,Federal-gov,7,Own-child,0,0,10,United-States,0,11th,0
55,Private,9,Husband,0,0,56,United-States,1,HS-grad,1
24,Federal-gov,10,Not-in-family,0,0,40,United-States,0,Some-college,0
41,?,14,Wife,7688,0,10,United-States,1,Masters,1
59,Private,13,Not-in-family,0,0,25,United-States,1,Bachelor,0
49,Federal-gov,4,Not-in-family,0,0,20,United-States,0,7th - 8th,0
33,Private,14,Wife,5178,0,10,United-States,1,Masters,1
59,Federal-gov,13,Not-in-family,0,0,40,United-States,0,Bachelor,0
34,Private,14,Not-in-family,0,0,40,United-States,0,Masters,0
20,Private,9,Own-child,0,0,40,United-States,1,HS-grad,0
25,Private,13,Own-child,0,0,40,United-States,0,Bachelor,0
49,Private,6,Husband,0,0,40,United-States,0, 10th,0
59,Private,9,Husband,0,0,40,United-States,1,HS-grad,1
20,Private,9,Not-in-family,0,0,40,United-States,0,HS-grad,0
51,?,10,Wife,0,0,18,United-States,0,Some-college,0
33,Private,10,Unmarried,0,0,35,United-States,0,Some-college,0
22,Private,10,Own-child,0,0,39,United-States,0,Some-college,0
58,Self-emp-not-inc,5,Not-in-family,0,0,40,United-States,0,9th,0
52,Local-gov,9,Unmarried,0,0,28,United-States,0,HS-grad,0
36,Private,6,Not-in-family,0,0,40,United-States,0, 10th,0
41,Local-gov,9,Husband,0,0,40,United-States,0,HS-grad,0
28,Private,9,Own-child,2597,0,40,United-States,1,HS-grad,0
19,Private,10,Own-child,0,0,16,United-States,1,Some-college,0
18,Private,9,Not-in-family,0,0,28,United-States,0,HS-grad,0
18,Private,9,Own-child,0,0,48,United-States,0,HS-grad,0
28,Private,10,Husband,0,0,40,United-States,0,Some-college,0
29,Private,11,Husband,0,0,40,United-States,1,Assoc-voc,1
20,?,9,Own-child,0,0,20,United-States,0,HS-grad,0
40,Private,10,Husband,0,0,40,United-States,0,Some-college,0
26,Private,9,Unmarried,0,0,40,United-States,0,HS-grad,0
46,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
23,Private,7,Not-in-family,0,0,24,United-States,0,11th,0
44,Private,9,Unmarried,0,0,40,United-States,0,HS-grad,0
43,Private,13,Unmarried,0,0,40,United-States,1,Bachelor,1
31,Local-gov,13,Unmarried,0,0,60,United-States,0,Bachelor,0
18,Private,10,Own-child,0,0,25,United-States,0,Some-college,0
19,Private,10,Own-child,0,0,30,United-States,0,Some-college,0
41,Private,10,Not-in-family,0,0,40,United-States,1,Some-college,0
41,Private,9,Unmarried,0,0,40,United-States,0,HS-grad,0
69,Private,9,Not-in-family,0,0,25,United-States,0,HS-grad,0
48,Federal-gov,16,Wife,0,0,40,United-States,1,Doctorate,1
28,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
27,Self-emp-not-inc,9,Husband,0,0,60,Ireland,1,HS-grad,1
41,Private,14,Husband,0,2415,50,United-States,1,Masters,1
41,Private,10,Husband,0,0,40,United-States,0,Some-college,0
24,Private,9,Unmarried,0,0,40,United-States,0,HS-grad,0
20,?,9,Not-in-family,0,0,40,United-States,0,HS-grad,0
42,Self-emp-inc,16,Husband,0,0,41,United-States,1,Doctorate,1
57,Private,9,Husband,0,0,48,United-States,0,HS-grad,0
30,Private,12,Not-in-family,0,0,40,United-States,0,Assoc-admn,0
36,Private,9,Husband,0,0,60,United-States,1,HS-grad,1
49,Private,4,Husband,0,0,40,United-States,0,7th - 8th,0
33,Private,9,Wife,0,0,35,United-States,0,HS-grad,0
23,Private,6,Husband,0,0,40,United-States,0, 10th,0
46,Private,14,Husband,0,0,40,United-States,0,Masters,0
18,Private,10,Own-child,0,0,22,Germany,0,Some-college,0
40,Private,9,Husband,7688,0,55,United-States,1,HS-grad,1
43,Self-emp-inc,9,Husband,0,1887,45,United-States,1,HS-grad,1
34,Private,14,Own-child,0,0,30,United-States,0,Masters,0
47,Self-emp-not-inc,9,Not-in-family,0,0,30,United-States,0,HS-grad,0
44,Private,11,Unmarried,0,0,30,United-States,0,Assoc-voc,0
33,Private,9,Husband,0,0,40,United-States,1,HS-grad,1
55,Private,13,Husband,15024,0,50,United-States,1,Bachelor,1
19,Private,9,Not-in-family,2907,0,30,United-States,0,HS-grad,0
28,Private,10,Not-in-family,0,0,14,United-States,0,Some-college,0
27,Private,7,Wife,0,0,32,United-States,0,11th,0
50,Private,4,Husband,0,0,20,United-States,0,7th - 8th,0
22,Private,7,Unmarried,0,0,40,United-States,0,11th,0
40,State-gov,13,Husband,0,1887,45,United-States,0,Bachelor,1
25,Private,10,Own-child,0,0,40,United-States,1,Some-college,0
26,Local-gov,9,Not-in-family,0,0,40,United-States,0,HS-grad,0
22,Private,13,Not-in-family,0,0,25,United-States,0,Bachelor,0
42,Private,10,Unmarried,0,625,40,United-States,0,Some-college,0
38,Self-emp-inc,13,Not-in-family,0,0,40,United-States,0,Bachelor,0
55,Private,7,Husband,0,0,30,United-States,0,11th,0
32,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
22,Private,9,Husband,0,0,45,United-States,0,HS-grad,0
29,Private,13,Own-child,0,0,40,United-States,0,Bachelor,0
46,State-gov,14,Husband,0,0,45,United-States,1,Masters,1
31,Private,10,Husband,0,0,40,United-States,1,Some-college,1
58,Self-emp-not-inc,16,Husband,0,0,16,United-States,1,Doctorate,1
42,Private,9,Husband,0,0,45,United-States,0,HS-grad,0
18,Private,9,Unmarried,0,0,25,United-States,0,HS-grad,0
58,Local-gov,9,Not-in-family,0,0,33,United-States,0,HS-grad,0
54,Private,9,Husband,0,1887,40,United-States,1,HS-grad,1
34,Private,14,Not-in-family,0,0,40,United-States,0,Masters,0
26,Private,13,Not-in-family,0,0,40,United-States,0,Bachelor,0
61,Private,8,Husband,0,0,60,United-States,0,12th,0
48,Local-gov,14,Unmarried,0,0,40,United-States,0,Masters,0
36,Private,10,Husband,0,0,45,United-States,1,Some-college,1
24,Private,11,Husband,0,0,45,United-States,0,Assoc-voc,0
40,Private,10,Husband,0,0,37,United-States,0,Some-college,0
33,Self-emp-inc,9,Husband,0,0,50,United-States,1,HS-grad,1
37,Private,10,Husband,0,1887,40,United-States,1,Some-college,1
34,Private,14,Own-child,4650,0,40,United-States,0,Masters,0
56,Self-emp-inc,10,Husband,15024,0,40,United-States,1,Some-college,1
28,?,9,Own-child,0,0,38,United-States,1,HS-grad,1
37,Private,13,Not-in-family,0,0,55,United-States,0,Bachelor,0
44,Private,9,Unmarried,0,0,40,United-States,0,HS-grad,0
64,?,10,Husband,0,0,8,United-States,0,Some-college,0
54,Private,9,Not-in-family,0,0,45,United-States,0,HS-grad,0
23,Private,9,Not-in-family,0,0,50,United-States,0,HS-grad,0
34,State-gov,13,Not-in-family,0,0,40,?,0,Bachelor,0
22,Private,9,Not-in-family,0,0,45,United-States,0,HS-grad,0
33,Private,13,Husband,0,1977,40,United-States,1,Bachelor,1
39,Private,13,Not-in-family,0,0,50,United-States,1,Bachelor,1
47,Private,10,Not-in-family,0,0,37,United-States,0,Some-college,0
79,?,4,Not-in-family,0,0,40,United-States,0,7th - 8th,0
26,Private,9,Unmarried,0,0,55,United-States,0,HS-grad,0
31,Private,10,Unmarried,0,0,40,United-States,0,Some-college,0
44,Private,10,Not-in-family,0,0,45,United-States,0,Some-college,0
42,Self-emp-inc,15,Wife,0,0,50,United-States,1,Prof-school,1
19,Private,9,Not-in-family,0,0,40,United-States,0,HS-grad,0
27,Private,9,Husband,0,0,40,United-States,1,HS-grad,1
51,Local-gov,10,Husband,0,0,40,United-States,1,Some-college,1
28,Self-emp-inc,13,Husband,0,0,50,United-States,0,Bachelor,0
57,Private,13,Not-in-family,0,0,45,United-States,0,Bachelor,0
45,Local-gov,13,Unmarried,0,0,40,United-States,0,Bachelor,0
50,Private,11,Husband,0,0,40,United-States,1,Assoc-voc,1
34,Self-emp-inc,13,Husband,0,0,54,United-States,0,Bachelor,0
45,Private,4,Husband,0,0,40,United-States,0,7th - 8th,0
73,Local-gov,9,Husband,0,0,20,United-States,0,HS-grad,0
34,Private,13,Wife,0,0,50,United-States,1,Bachelor,1
31,Private,10,Husband,0,0,55,United-States,1,Some-college,1
19,Private,7,Not-in-family,0,0,12,United-States,0,11th,0
25,Private,10,Own-child,0,0,50,United-States,0,Some-college,0
38,Federal-gov,11,Unmarried,6497,0,40,United-States,0,Assoc-voc,0
39,Private,13,Husband,0,0,40,United-States,0,Bachelor,0
23,Private,13,Own-child,0,0,32,United-States,0,Bachelor,0
49,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
33,Federal-gov,9,Not-in-family,0,0,32,United-States,0,HS-grad,0
21,Private,3,Other-relative,0,0,38,Mexico,0,5th-6th,0
31,Private,11,Not-in-family,0,0,40,United-States,0,Assoc-voc,0
23,Private,13,Not-in-family,0,0,45,United-States,0,Bachelor,0
34,Private,13,Husband,0,0,40,Philippines,0,Bachelor,0
25,Private,9,Not-in-family,0,0,40,Philippines,0,HS-grad,0
39,Private,9,Unmarried,0,0,40,United-States,0,HS-grad,0
52,Self-emp-inc,9,Husband,0,0,40,United-States,1,HS-grad,1
63,Local-gov,5,Husband,7688,0,40,United-States,1,9th,1
41,Private,10,Husband,0,0,40,United-States,0,Some-college,0
46,Private,13,Husband,15024,0,38,United-States,1,Bachelor,1
53,Local-gov,9,Husband,0,0,40,United-States,0,HS-grad,0
25,?,5,Not-in-family,1055,0,40,United-States,0,9th,0
77,?,10,Husband,0,0,35,United-States,0,Some-college,0
18,Private,8,Own-child,0,0,40,United-States,0,12th,0
38,Private,15,Husband,0,0,50,United-States,0,Prof-school,0
55,Private,14,Unmarried,0,0,50,Thailand,0,Masters,0
34,Private,9,Husband,0,0,40,United-States,1,HS-grad,1
80,Self-emp-not-inc,9,Husband,0,0,30,United-States,1,HS-grad,1
34,Private,11,Unmarried,0,0,60,United-States,0,Assoc-voc,0
52,Private,10,Husband,5013,0,40,United-States,0,Some-college,0
42,Private,9,Unmarried,0,0,28,Haiti,1,HS-grad,0
26,Private,10,Not-in-family,0,0,40,United-States,0,Some-college,0
31,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
25,Local-gov,9,Own-child,0,0,35,United-States,0,HS-grad,0
55,Self-emp-not-inc,9,Husband,0,2057,60,United-States,0,HS-grad,0
19,Private,10,Own-child,0,0,12,United-States,0,Some-college,0
62,Self-emp-not-inc,10,Husband,0,0,32,United-States,0,Some-college,0
22,Federal-gov,10,Own-child,0,0,20,United-States,0,Some-college,0
39,?,9,Wife,0,0,50,United-States,0,HS-grad,0
35,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
28,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
47,Private,9,Husband,0,0,70,United-States,1,HS-grad,1
44,State-gov,9,Husband,0,0,40,United-States,0,HS-grad,0
21,Private,10,Own-child,0,0,15,United-States,0,Some-college,0
35,Private,11,Not-in-family,0,0,50,United-States,0,Assoc-voc,0
24,Private,13,Husband,0,0,40,United-States,0,Bachelor,1
42,Federal-gov,13,Not-in-family,0,0,40,?,0,Bachelor,0
28,Private,13,Own-child,0,0,50,United-States,0,Bachelor,0
21,Private,10,Other-relative,0,0,35,United-States,0,Some-college,0
62,Federal-gov,10,Not-in-family,4650,0,40,United-States,0,Some-college,0
39,Private,9,Not-in-family,0,0,40,United-States,0,HS-grad,0
30,State-gov,9,Not-in-family,0,0,40,United-States,0,HS-grad,0
72,Self-emp-not-inc,15,Not-in-family,0,1429,20,United-States,0,Prof-school,0
50,Private,10,Wife,0,0,50,United-States,0,Some-college,0
28,Local-gov,14,Not-in-family,0,0,40,United-States,0,Masters,0
29,Private,10,Not-in-family,0,0,40,United-States,0,Some-college,0
26,Private,13,Own-child,0,0,40,United-States,0,Bachelor,0
27,Private,14,Not-in-family,0,0,40,United-States,0,Masters,0
29,Private,10,Husband,3103,0,40,United-States,1,Some-college,1
61,?,9,Husband,0,0,40,United-States,0,HS-grad,0
29,Private,6,Husband,0,0,25,United-States,0, 10th,0
21,?,10,Own-child,0,0,30,United-States,0,Some-college,0
31,Private,7,Wife,0,0,20,United-States,0,11th,0
25,Private,9,Husband,0,0,75,United-States,0,HS-grad,0
58,Private,6,Husband,0,0,40,United-States,1, 10th,1
64,Private,10,Wife,0,0,40,United-States,1,Some-college,1
46,State-gov,14,Not-in-family,0,0,38,United-States,0,Masters,0
53,?,9,Husband,0,0,35,United-States,1,HS-grad,1
19,Private,9,Own-child,0,0,35,United-States,0,HS-grad,0
42,Private,9,Not-in-family,0,0,52,United-States,0,HS-grad,0
18,Private,7,Own-child,0,0,24,United-States,0,11th,0
58,Self-emp-inc,13,Husband,15024,0,50,United-States,1,Bachelor,1
20,Private,10,Not-in-family,0,0,60,United-States,0,Some-college,0
35,Federal-gov,9,Husband,0,0,40,United-States,1,HS-grad,1
32,Private,9,Husband,0,0,38,United-States,1,HS-grad,1
23,Private,9,Not-in-family,0,0,25,United-States,0,HS-grad,0
31,Private,10,Unmarried,0,0,40,United-States,0,Some-college,0
33,Private,13,Husband,0,0,55,United-States,0,Bachelor,0
41,Private,10,Not-in-family,0,0,48,United-States,0,Some-college,0
22,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
46,Private,10,Husband,0,0,40,United-States,0,Some-college,1
61,Federal-gov,10,Husband,0,0,40,United-States,0,Some-college,0
30,Private,9,Not-in-family,0,0,40,United-States,0,HS-grad,0
42,Private,9,Husband,0,0,55,United-States,1,HS-grad,1
63,Private,6,Husband,0,0,40,United-States,0, 10th,0
26,Private,10,Husband,0,0,40,United-States,0,Some-college,0
42,Private,6,Unmarried,0,0,40,United-States,0, 10th,0
23,Private,10,Husband,0,0,40,United-States,0,Some-college,0
25,Private,9,Unmarried,0,1590,40,United-States,0,HS-grad,0
30,Private,5,Husband,0,0,32,El-Salvador,1,9th,1
23,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
34,Self-emp-not-inc,11,Not-in-family,27828,0,60,United-States,1,Assoc-voc,1
30,Private,9,Other-relative,0,2057,48,United-States,0,HS-grad,0
39,Private,10,Husband,0,0,40,United-States,1,Some-college,1
30,Private,7,Other-relative,0,1721,38,Puerto-Rico,0,11th,0
38,Local-gov,10,Unmarried,0,0,38,United-States,0,Some-college,0
26,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
20,Private,10,Own-child,0,0,16,United-States,0,Some-college,0
37,Local-gov,13,Unmarried,0,0,40,?,0,Bachelor,0
33,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
24,Private,13,Own-child,0,0,40,United-States,0,Bachelor,0
42,Self-emp-inc,13,Husband,0,0,60,United-States,1,Bachelor,1
51,Self-emp-not-inc,9,Husband,3103,0,84,Vietnam,0,HS-grad,0
56,Local-gov,12,Husband,0,0,45,United-States,1,Assoc-admn,1
22,Private,10,Own-child,0,0,40,United-States,0,Some-college,0
52,Self-emp-not-inc,10,Husband,0,0,60,United-States,0,Some-college,0
44,Private,13,Unmarried,4934,0,45,United-States,1,Bachelor,1
34,Private,9,Wife,4064,0,35,United-States,0,HS-grad,0
51,Private,10,Not-in-family,0,0,42,United-States,1,Some-college,1
20,?,10,Not-in-family,0,0,40,United-States,0,Some-college,0
19,Private,10,Not-in-family,0,0,25,United-States,0,Some-college,0
37,Private,13,Husband,0,0,40,United-States,1,Bachelor,1
68,Private,9,Husband,0,0,40,United-States,1,HS-grad,1
22,Private,10,Not-in-family,0,0,40,United-States,0,Some-college,0
56,Self-emp-inc,13,Husband,0,0,40,United-States,0,Bachelor,0
37,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
52,Private,2,Husband,0,0,40,Mexico,0,1st-4th,0
26,Private,9,Own-child,0,0,40,Puerto-Rico,0,HS-grad,0
33,Private,14,Husband,0,0,50,United-States,0,Masters,0
45,Local-gov,14,Unmarried,0,0,42,United-States,0,Masters,0
18,Private,7,Own-child,0,0,15,United-States,0,11th,0
43,Self-emp-not-inc,10,Husband,0,0,60,United-States,1,Some-college,1
64,Self-emp-not-inc,16,Husband,15024,0,50,?,1,Doctorate,1
18,Private,9,Own-child,0,0,20,United-States,0,HS-grad,0
20,?,10,Own-child,0,0,45,United-States,0,Some-college,0
57,Private,9,Husband,0,0,40,United-States,1,HS-grad,1
41,Private,9,Unmarried,3674,0,42,United-States,0,HS-grad,0
34,Private,14,Husband,0,1887,50,United-States,1,Masters,1
19,Private,9,Unmarried,0,0,40,United-States,0,HS-grad,0
44,Private,5,Unmarried,0,0,55,Dominican-Republic,0,9th,0
56,Private,6,Unmarried,0,0,40,United-States,0, 10th,0
36,Self-emp-inc,9,Husband,0,0,80,United-States,0,HS-grad,0
48,Private,13,Unmarried,0,0,48,United-States,0,Bachelor,0
29,Private,9,Husband,0,0,40,United-States,1,HS-grad,1
33,Private,13,Not-in-family,2174,0,40,United-States,0,Bachelor,0
31,Private,3,Husband,0,0,40,Mexico,0,5th-6th,0
39,Private,14,Husband,0,0,45,United-States,1,Masters,1
66,Private,9,Husband,10605,0,40,United-States,1,HS-grad,1
27,Private,13,Not-in-family,0,0,50,United-States,1,Bachelor,1
39,Private,9,Unmarried,99999,0,40,United-States,1,HS-grad,1
59,Private,4,Husband,5178,0,50,United-States,1,7th - 8th,1
26,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
31,Private,11,Unmarried,0,0,40,United-States,0,Assoc-voc,0
45,?,9,Unmarried,0,0,40,Mexico,0,HS-grad,0
23,Private,9,Own-child,0,0,30,United-States,0,HS-grad,0
36,Local-gov,9,Unmarried,0,0,40,United-States,0,HS-grad,0
34,Private,10,Wife,0,0,12,United-States,1,Some-college,1
32,Private,9,Husband,0,0,84,United-States,1,HS-grad,1
37,Private,13,Husband,0,0,50,United-States,1,Bachelor,1
33,Private,13,Not-in-family,0,0,45,United-States,1,Bachelor,0
50,Self-emp-not-inc,15,Husband,99999,0,80,United-States,1,Prof-school,1
32,Federal-gov,12,Not-in-family,0,0,40,United-States,0,Assoc-admn,0
35,Private,13,Own-child,0,0,40,United-States,0,Bachelor,0
37,Private,7,Husband,0,0,40,United-States,0,11th,0
44,Private,10,Not-in-family,0,0,60,United-States,0,Some-college,0
57,Private,10,Other-relative,0,0,25,United-States,0,Some-college,0
29,Local-gov,10,Own-child,0,0,40,United-States,0,Some-college,0
55,Private,9,Husband,0,0,50,United-States,1,HS-grad,1
43,Self-emp-inc,15,Husband,0,0,25,United-States,1,Prof-school,1
43,Private,10,Husband,0,0,70,United-States,0,Some-college,0
45,Self-emp-not-inc,10,Husband,0,0,60,United-States,1,Some-college,1
33,Self-emp-not-inc,14,Wife,0,0,8,United-States,0,Masters,0
26,Private,6,Unmarried,0,0,40,Germany,0, 10th,0
23,Private,10,Husband,0,0,68,United-States,0,Some-college,0
41,Private,4,Not-in-family,0,0,40,Mexico,0,7th - 8th,0
24,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
47,Self-emp-not-inc,13,Husband,0,0,44,United-States,0,Bachelor,0
34,Self-emp-not-inc,9,Own-child,0,0,45,United-States,0,HS-grad,0
40,Private,9,Husband,0,0,40,United-States,1,HS-grad,1
28,Private,13,Wife,0,1485,40,United-States,1,Bachelor,0
24,Private,9,Own-child,0,0,40,South,0,HS-grad,0
73,?,10,Husband,0,0,10,United-States,1,Some-college,0
23,Private,9,Other-relative,0,0,15,United-States,0,HS-grad,0
43,Self-emp-not-inc,9,Husband,0,0,40,United-States,1,HS-grad,1
26,Private,13,Not-in-family,0,0,40,United-States,0,Bachelor,0
58,Self-emp-not-inc,16,Wife,0,1485,35,United-States,1,Doctorate,1
52,Private,9,Unmarried,0,0,35,United-States,0,HS-grad,0
29,Private,7,Husband,0,0,99,United-States,1,11th,1
47,Private,7,Husband,0,0,35,Columbia,0,11th,0
49,Private,9,Unmarried,0,0,37,United-States,0,HS-grad,0
40,Private,7,Unmarried,0,0,40,United-States,0,11th,0
62,Self-emp-not-inc,9,Wife,0,0,40,United-States,0,HS-grad,0
49,Private,9,Husband,0,1977,55,United-States,0,HS-grad,1
50,Private,13,Other-relative,0,0,50,United-States,1,Bachelor,1
31,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
48,Local-gov,14,Not-in-family,0,0,50,United-States,1,Masters,0
24,Private,9,Unmarried,0,0,40,United-States,0,HS-grad,0
41,?,9,Own-child,3418,0,40,United-States,0,HS-grad,0
37,Private,9,Own-child,0,0,60,United-States,0,HS-grad,0
45,Private,13,Husband,0,0,45,Japan,1,Bachelor,1
63,?,9,Husband,0,0,16,United-States,0,HS-grad,0
36,Private,14,Husband,0,0,45,India,0,Masters,0
45,Private,13,Husband,0,0,40,United-States,0,Bachelor,0
41,Private,13,Not-in-family,0,0,40,United-States,0,Bachelor,0
26,Private,12,Other-relative,0,0,20,United-States,0,Assoc-admn,0
17,Private,7,Own-child,0,0,25,United-States,0,11th,0
27,Private,9,Husband,0,0,36,?,0,HS-grad,0
43,Private,9,Husband,0,0,65,United-States,0,HS-grad,0
35,Private,9,Own-child,0,0,55,United-States,0,HS-grad,0
38,Private,13,Unmarried,0,0,40,United-States,0,Bachelor,0
26,Private,9,Not-in-family,0,0,40,United-States,0,HS-grad,0
28,Private,10,Own-child,0,0,40,United-States,0,Some-college,0
38,Private,13,Wife,0,0,24,United-States,1,Bachelor,1
36,Private,7,Unmarried,0,0,40,United-States,0,11th,0
33,Private,9,Wife,0,0,40,United-States,1,HS-grad,1
19,Private,9,Own-child,1055,0,70,United-States,0,HS-grad,0
22,?,12,Own-child,0,0,25,United-States,0,Assoc-admn,0
42,Federal-gov,6,Husband,0,0,40,Mexico,0, 10th,0
50,Private,6,Husband,0,0,40,United-States,1, 10th,1
30,Private,9,Husband,0,0,30,United-States,0,HS-grad,0
37,State-gov,10,Other-relative,0,0,40,Cambodia,0,Some-college,0
54,Self-emp-inc,15,Husband,99999,0,40,United-States,1,Prof-school,1
52,Self-emp-inc,13,Not-in-family,0,0,40,United-States,0,Bachelor,0
